Note: checking out '9a62b06be5d0df8e833ff8583398cca386608cac'.

You are in 'detached HEAD' state. You can look around, make experimental
changes and commit them, and you can discard any commits you make in this
state without impacting any branches by performing another checkout.
[ BUILD CHECKER ] 8ffa0cd7 commit already checked: SUCCESS
[ BUILD CHECKER ] 77a6b3a4 commit already checked: SUCCESS
[ BUILD CHECKER ] f2f9c814 commit already checked: SUCCESS
[ BUILD CHECKER ] 5cdb2065 commit already checked: SUCCESS
[ BUILD CHECKER ] e9f90a1e commit already checked: SUCCESS
[ BUILD CHECKER ] bb661e13 commit already checked: SUCCESS
[ BUILD CHECKER ] cd24d5cb commit already checked: SUCCESS
[ BUILD CHECKER ] 136667cc commit already checked: SUCCESS
[ BUILD CHECKER ] 6d3a272c commit already checked: SUCCESS
[ BUILD CHECKER ] fd88604b commit already checked: SUCCESS
[ BUILD CHECKER ] a9f1ae91 commit already checked: SUCCESS
[ BUILD CHECKER ] 5d0f10b4 commit already checked: SUCCESS
[ BUILD CHECKER ] 5d08a1cd commit already checked: SUCCESS
[ BUILD CHECKER ] 6a1b24c5 commit already checked: SUCCESS
[ BUILD CHECKER ] bce8df70 commit already checked: SUCCESS
[ BUILD CHECKER ] 14863a51 commit already checked: SUCCESS
[ BUILD CHECKER ] 46b817a0 commit already checked: SUCCESS
[ BUILD CHECKER ] 06fffaf3 commit already checked: SUCCESS
[ BUILD CHECKER ] 2091e713 commit already checked: SUCCESS
[ BUILD CHECKER ] fdb2ef48 commit already checked: SUCCESS
[ BUILD CHECKER ] 24ad2dd7 commit already checked: SUCCESS
[ BUILD CHECKER ] fecee760 commit already checked: SUCCESS
[ BUILD CHECKER ] 66c4a1c1 commit already checked: SUCCESS
[ BUILD CHECKER ] 2ea85632 commit already checked: SUCCESS
[ BUILD CHECKER ] cc3262ff commit already checked: SUCCESS
[ BUILD CHECKER ] 0cefc4c2 commit already checked: SUCCESS
[ BUILD CHECKER ] 383354ad commit already checked: SUCCESS
[ BUILD CHECKER ] 706513d5 commit already checked: SUCCESS
[ BUILD CHECKER ] dba7c37e commit already checked: SUCCESS
[ BUILD CHECKER ] 67178f0d commit already checked: SUCCESS
[ BUILD CHECKER ] 0993b376 commit already checked: SUCCESS
[ BUILD CHECKER ] aa13a78e commit already checked: SUCCESS
[ BUILD CHECKER ] 90ed89df commit already checked: SUCCESS
[ BUILD CHECKER ] 48e7bb78 commit already checked: SUCCESS
[ BUILD CHECKER ] b8f80df3 commit already checked: SUCCESS
[ BUILD CHECKER ] 2c7cc093 commit already checked: SUCCESS
[ BUILD CHECKER ] 1cea361a commit already checked: SUCCESS
[ BUILD CHECKER ] 3ea371ac commit already checked: SUCCESS
[ BUILD CHECKER ] 790a3a23 commit already checked: SUCCESS
[ BUILD CHECKER ] 714c53e2 commit already checked: SUCCESS
[ BUILD CHECKER ] 44b5d6cc commit gona be checked
Previous HEAD position was 9a62b06b Fix NPE in Partial.with()
HEAD is now at 44b5d6cc Add Period.multipliedBy(int) and Period.negated()
[ BUILD CHECKER ] 44b5d6cc commit build success
[ BUILD CHECKER ] 12fce671 commit gona be checked
Previous HEAD position was 44b5d6cc Add Period.multipliedBy(int) and Period.negated()
HEAD is now at 12fce671 Use getID() when parsing JDK TimeZone
[ BUILD CHECKER ] 12fce671 commit build success
[ BUILD CHECKER ] a8913f5a commit gona be checked
Previous HEAD position was 12fce671 Use getID() when parsing JDK TimeZone
HEAD is now at a8913f5a Fix time zone later/earlier offset methods in Western hemisphere [3476684]
[ BUILD CHECKER ] a8913f5a commit build success
[ BUILD CHECKER ] cdeacf09 commit gona be checked
Previous HEAD position was a8913f5a Fix time zone later/earlier offset methods in Western hemisphere [3476684]
HEAD is now at cdeacf09 Fix multi-lingual period format for using English from another language default [3471414]
[ BUILD CHECKER ] cdeacf09 commit build success
[ BUILD CHECKER ] 5d8a77e2 commit gona be checked
Previous HEAD position was cdeacf09 Fix multi-lingual period format for using English from another language default [3471414]
HEAD is now at 5d8a77e2 Tweaks to cached time-zone to try and avoid a NPE [3470276]
[ BUILD CHECKER ] 5d8a77e2 commit build success
[ BUILD CHECKER ] d634d385 commit gona be checked
Previous HEAD position was 5d8a77e2 Tweaks to cached time-zone to try and avoid a NPE [3470276]
HEAD is now at d634d385 Add FAQ on wrong time-zone offsets
[ BUILD CHECKER ] d634d385 commit build success
[ BUILD CHECKER ] 3bca798e commit gona be checked
Previous HEAD position was d634d385 Add FAQ on wrong time-zone offsets
HEAD is now at 3bca798e Fix references to removed methods in user guide
[ BUILD CHECKER ] 3bca798e commit build success
[ BUILD CHECKER ] 7a4800c2 commit gona be checked
Previous HEAD position was 3bca798e Fix references to removed methods in user guide
HEAD is now at 7a4800c2 Enhance plus/minus javadoc [3469522]
[ BUILD CHECKER ] 7a4800c2 commit build success
[ BUILD CHECKER ] 1803610f commit gona be checked
Previous HEAD position was 7a4800c2 Enhance plus/minus javadoc [3469522]
HEAD is now at 1803610f Add to gitignore
[ BUILD CHECKER ] 1803610f commit build success
[ BUILD CHECKER ] d2ec203c commit gona be checked
Previous HEAD position was 1803610f Add to gitignore
HEAD is now at d2ec203c Enhance readResolve() from LocalDate/LocalTime/LocalDateTime [3461008]
[ BUILD CHECKER ] d2ec203c commit build success
[ BUILD CHECKER ] d6791cb5 commit gona be checked
Previous HEAD position was d2ec203c Enhance readResolve() from LocalDate/LocalTime/LocalDateTime [3461008]
HEAD is now at d6791cb5 Fix PeriodType caching
[ BUILD CHECKER ] d6791cb5 commit build success
[ BUILD CHECKER ] 7b5032a4 commit gona be checked
Previous HEAD position was d6791cb5 Fix PeriodType caching
HEAD is now at 7b5032a4 Better hash code distribution
[ BUILD CHECKER ] 7b5032a4 commit build success
[ BUILD CHECKER ] b609d7d6 commit gona be checked
Previous HEAD position was 7b5032a4 Better hash code distribution
HEAD is now at b609d7d6 Fix GJChronology to allow some leap year dates in JulianChronology to be created [3446915]
[ BUILD CHECKER ] b609d7d6 commit build success
[ BUILD CHECKER ] e16eb72a commit gona be checked
Previous HEAD position was b609d7d6 Fix GJChronology to allow some leap year dates in JulianChronology to be created [3446915]
HEAD is now at e16eb72a Make hash code deterministic
[ BUILD CHECKER ] e16eb72a commit build success
[ BUILD CHECKER ] 5a4fb365 commit gona be checked
Previous HEAD position was e16eb72a Make hash code deterministic
HEAD is now at 5a4fb365 Fix broken hyperlink, notified by "Gent, R.H. van (Rob)"
[ BUILD CHECKER ] 5a4fb365 commit build success
[ BUILD CHECKER ] 82c5e4f9 commit gona be checked
Previous HEAD position was 5a4fb365 Fix broken hyperlink, notified by "Gent, R.H. van (Rob)"
HEAD is now at 82c5e4f9 Ambiguous date-time when in zone with offset of 00:00 [3424669]
[ BUILD CHECKER ] 82c5e4f9 commit build success
[ BUILD CHECKER ] a92450e8 commit gona be checked
Previous HEAD position was 82c5e4f9 Ambiguous date-time when in zone with offset of 00:00 [3424669]
HEAD is now at a92450e8 Fix zone id parsing for ids like America/Dawson_Creek [3427389]
[ BUILD CHECKER ] a92450e8 commit build success
[ BUILD CHECKER ] 17a60c9a commit gona be checked
Previous HEAD position was a92450e8 Fix zone id parsing for ids like America/Dawson_Creek [3427389]
HEAD is now at 17a60c9a Add note about JAXB to related projects
[ BUILD CHECKER ] 17a60c9a commit build success
[ BUILD CHECKER ] 7b145b04 commit gona be checked
Previous HEAD position was 17a60c9a Add note about JAXB to related projects
HEAD is now at 7b145b04 Update FAQ
[ BUILD CHECKER ] 7b145b04 commit build success
[ BUILD CHECKER ] f52ae28d commit gona be checked
Previous HEAD position was 7b145b04 Update FAQ
HEAD is now at f52ae28d Add time-zone offset to Interval string [https://github.com/JodaOrg/joda-time/pull/2]
[ BUILD CHECKER ] f52ae28d commit build success
[ BUILD CHECKER ] e2d472ba commit gona be checked
Previous HEAD position was f52ae28d Add time-zone offset to Interval string [https://github.com/JodaOrg/joda-time/pull/2]
HEAD is now at e2d472ba Format the endpoints of an interval in toString using ISODateTimeFormat.dateTime(), to not lose the timezone
[ BUILD CHECKER ] e2d472ba commit build success
[ BUILD CHECKER ] 5a59a1f6 commit gona be checked
Previous HEAD position was e2d472ba Format the endpoints of an interval in toString using ISODateTimeFormat.dateTime(), to not lose the timezone
HEAD is now at 5a59a1f6 Make tests pass using non-English default locale
[ BUILD CHECKER ] 5a59a1f6 commit build success
[ BUILD CHECKER ] 7bdb324b commit gona be checked
Previous HEAD position was 5a59a1f6 Make tests pass using non-English default locale
HEAD is now at 7bdb324b Javadoc fix to MutablePeriod [3413869]
[ BUILD CHECKER ] 7bdb324b commit build success
[ BUILD CHECKER ] 0973b460 commit gona be checked
Previous HEAD position was 7bdb324b Javadoc fix to MutablePeriod [3413869]
HEAD is now at 0973b460 Fix time-zone names in non-English locales on JDK1.6 [3412910]
[ BUILD CHECKER ] 0973b460 commit build success
[ BUILD CHECKER ] c5a5190e commit gona be checked
Previous HEAD position was 0973b460 Fix time-zone names in non-English locales on JDK1.6 [3412910]
HEAD is now at c5a5190e Remove broken test class
[ BUILD CHECKER ] c5a5190e commit build success
[ BUILD CHECKER ] 49558a52 commit gona be checked
Previous HEAD position was c5a5190e Remove broken test class
HEAD is now at 49558a52 Work around maven bug that puts duplicate files in source jar
[ BUILD CHECKER ] 49558a52 commit build success
[ BUILD CHECKER ] 5d127a3a commit gona be checked
Previous HEAD position was 49558a52 Work around maven bug that puts duplicate files in source jar
HEAD is now at 5d127a3a Fix release date
[ BUILD CHECKER ] 5d127a3a commit build success
[ BUILD CHECKER ] 1ec3c2f0 commit gona be checked
Previous HEAD position was 5d127a3a Fix release date
HEAD is now at 1ec3c2f0 Support parsing of date-time zone names like BST or British Summer Time
[ BUILD CHECKER ] 1ec3c2f0 commit build success
[ BUILD CHECKER ] 3ea62678 commit gona be checked
Previous HEAD position was 1ec3c2f0 Support parsing of date-time zone names like BST or British Summer Time
HEAD is now at 3ea62678 Add deprcated annotation
[ BUILD CHECKER ] 3ea62678 commit build success
[ BUILD CHECKER ] 07002501 commit gona be checked
Previous HEAD position was 3ea62678 Add deprcated annotation
HEAD is now at 07002501 Comment out pmd to avoid Out Of Memory issues
[ BUILD CHECKER ] 07002501 commit build success
[ BUILD CHECKER ] aa17c531 commit gona be checked
Previous HEAD position was 07002501 Comment out pmd to avoid Out Of Memory issues
HEAD is now at aa17c531 Work around maven bug that puts duplicate files in source jar
[ BUILD CHECKER ] aa17c531 commit build success
[ BUILD CHECKER ] f64399f3 commit gona be checked
Previous HEAD position was aa17c531 Work around maven bug that puts duplicate files in source jar
HEAD is now at f64399f3 Time zone database 2011h
[ BUILD CHECKER ] f64399f3 commit build success
[ BUILD CHECKER ] fc896e3a commit gona be checked
Previous HEAD position was f64399f3 Time zone database 2011h
HEAD is now at fc896e3a Prepare for v2.0
[ BUILD CHECKER ] fc896e3a commit build success
[ BUILD CHECKER ] 2c5adef4 commit gona be checked
Previous HEAD position was fc896e3a Prepare for v2.0
HEAD is now at 2c5adef4 Add static now() methods to major classes
[ BUILD CHECKER ] 2c5adef4 commit build success
[ BUILD CHECKER ] d88831b6 commit gona be checked
Previous HEAD position was 2c5adef4 Add static now() methods to major classes
HEAD is now at d88831b6 Minor tweaks to code from Dave Brosius
[ BUILD CHECKER ] d88831b6 commit build success
[ BUILD CHECKER ] 4d3256df commit gona be checked
Previous HEAD position was d88831b6 Minor tweaks to code from Dave Brosius
HEAD is now at 4d3256df Merge commit '6b1b998c82879495a0587fc0559314e9605061bc'
[ BUILD CHECKER ] 4d3256df commit build success
[ BUILD CHECKER ] 80486e85 commit gona be checked
Previous HEAD position was 4d3256df Merge commit '6b1b998c82879495a0587fc0559314e9605061bc'
HEAD is now at 80486e85 Support parsing of date-time zone names like BST or British Summer Time
[ BUILD CHECKER ] 80486e85 commit build success
[ BUILD CHECKER ] 53eadfbd commit gona be checked
Previous HEAD position was 80486e85 Support parsing of date-time zone names like BST or British Summer Time
HEAD is now at 53eadfbd Support parsing of date-time zone IDs like Europe/London
[ BUILD CHECKER ] 53eadfbd commit build success
[ BUILD CHECKER ] 6b1b998c commit gona be checked
Previous HEAD position was 53eadfbd Support parsing of date-time zone IDs like Europe/London
HEAD is now at 6b1b998c make sure streams get closed when exception occurs
[ BUILD CHECKER ] 6b1b998c commit build success
[ BUILD CHECKER ] ae451955 commit gona be checked
Previous HEAD position was 6b1b998c make sure streams get closed when exception occurs
HEAD is now at ae451955 add equals/hashCode methods for classes that implements compareTo
[ BUILD CHECKER ] ae451955 commit build success
[ BUILD CHECKER ] 56ce9baf commit gona be checked
Previous HEAD position was ae451955 add equals/hashCode methods for classes that implements compareTo
HEAD is now at 56ce9baf use the Integer cache where possible
[ BUILD CHECKER ] 56ce9baf commit build success
[ BUILD CHECKER ] 9d991bcf commit gona be checked
Previous HEAD position was 56ce9baf use the Integer cache where possible
HEAD is now at 9d991bcf use the Integer cache where possible
[ BUILD CHECKER ] 9d991bcf commit build success
[ BUILD CHECKER ] d6f06ab1 commit gona be checked
Previous HEAD position was 9d991bcf use the Integer cache where possible
HEAD is now at d6f06ab1 push code down to inner block where it's actually used
[ BUILD CHECKER ] d6f06ab1 commit build success
[ BUILD CHECKER ] c9322762 commit gona be checked
Previous HEAD position was d6f06ab1 push code down to inner block where it's actually used
HEAD is now at c9322762 npe guard
[ BUILD CHECKER ] c9322762 commit build success
[ BUILD CHECKER ] 05df0f46 commit gona be checked
Previous HEAD position was c9322762 npe guard
HEAD is now at 05df0f46 Make compile on Java 5 rather than Java 6
[ BUILD CHECKER ] 05df0f46 commit build success
[ BUILD CHECKER ] 67f1a30f commit gona be checked
Previous HEAD position was 05df0f46 Make compile on Java 5 rather than Java 6
HEAD is now at 67f1a30f Rework fix to ensure immutable classes by using volatile instance variables
[ BUILD CHECKER ] 67f1a30f commit build success
[ BUILD CHECKER ] 47da3365 commit gona be checked
Previous HEAD position was 67f1a30f Rework fix to ensure immutable classes by using volatile instance variables
HEAD is now at 47da3365 Prepare for v2.0-RC1
[ BUILD CHECKER ] 47da3365 commit build success
[ BUILD CHECKER ] 2bad1780 commit gona be checked
Previous HEAD position was 47da3365 Prepare for v2.0-RC1
HEAD is now at 2bad1780 Time-zone DB 2011g
[ BUILD CHECKER ] 2bad1780 commit build success
[ BUILD CHECKER ] 067983f2 commit gona be checked
Previous HEAD position was 2bad1780 Time-zone DB 2011g
HEAD is now at 067983f2 Ensure immutable classes by using final instance variables
[ BUILD CHECKER ] 067983f2 commit build success
[ BUILD CHECKER ] b55a47fa commit gona be checked
Previous HEAD position was 067983f2 Ensure immutable classes by using final instance variables
HEAD is now at b55a47fa Test serialization of Duration
[ BUILD CHECKER ] b55a47fa commit build success
[ BUILD CHECKER ] 72ec8541 commit gona be checked
Previous HEAD position was b55a47fa Test serialization of Duration
HEAD is now at 72ec8541 Add more documentation about not parsing 24:00
[ BUILD CHECKER ] 72ec8541 commit build success
[ BUILD CHECKER ] 9f24508a commit gona be checked
Previous HEAD position was 72ec8541 Add more documentation about not parsing 24:00
HEAD is now at 9f24508a Readme
[ BUILD CHECKER ] 9f24508a commit build success
[ BUILD CHECKER ] e6cd9ba1 commit gona be checked
Previous HEAD position was 9f24508a Readme
HEAD is now at e6cd9ba1 Rely on interface rather than redeclaration when adding Comparable to ReadablePartial interface for better backwards compatibility
[ BUILD CHECKER ] e6cd9ba1 commit build success
[ BUILD CHECKER ] 64404332 commit gona be checked
Previous HEAD position was e6cd9ba1 Rely on interface rather than redeclaration when adding Comparable to ReadablePartial interface for better backwards compatibility
HEAD is now at 64404332 Add Comparable to ReadablePartial interface
[ BUILD CHECKER ] 64404332 commit build success
[ BUILD CHECKER ] f67b62aa commit gona be checked
Previous HEAD position was 64404332 Add Comparable to ReadablePartial interface
HEAD is now at f67b62aa Clarify Javadoc around week-of-weekyear
[ BUILD CHECKER ] f67b62aa commit build success
[ BUILD CHECKER ] 8dc39649 commit gona be checked
Previous HEAD position was f67b62aa Clarify Javadoc around week-of-weekyear
HEAD is now at 8dc39649 Add DateTime.withTimeAtStartOfDay() [3304757]
[ BUILD CHECKER ] 8dc39649 commit build success
[ BUILD CHECKER ] 24145245 commit gona be checked
Previous HEAD position was 8dc39649 Add DateTime.withTimeAtStartOfDay() [3304757]
HEAD is now at 24145245 Setup standard Eclipse environment and git ignores
[ BUILD CHECKER ] 24145245 commit build success
[ BUILD CHECKER ] 88d917b1 commit gona be checked
Previous HEAD position was 24145245 Setup standard Eclipse environment and git ignores
HEAD is now at 88d917b1 Mark current version as a snapshot
[ BUILD CHECKER ] 88d917b1 commit build success
[ BUILD CHECKER ] 90c44c4e commit gona be checked
Previous HEAD position was 88d917b1 Mark current version as a snapshot
HEAD is now at 90c44c4e Update following move to GitHub
[ BUILD CHECKER ] 90c44c4e commit build success
[ BUILD CHECKER ] 67e4663f commit gona be checked
Previous HEAD position was 90c44c4e Update following move to GitHub
HEAD is now at 67e4663f Add basic readme
[ BUILD CHECKER ] 67e4663f commit build success
[ BUILD CHECKER ] 27fde774 commit gona be checked
Previous HEAD position was 67e4663f Add basic readme
HEAD is now at 27fde774 Add basic Eclipse files
[ BUILD CHECKER ] 27fde774 commit build success
[ BUILD CHECKER ] 0f54d320 commit gona be checked
Previous HEAD position was 27fde774 Add basic Eclipse files
HEAD is now at 0f54d320 Add gitignore
[ BUILD CHECKER ] 0f54d320 commit build success
[ BUILD CHECKER ] df4a82f4 commit gona be checked
Previous HEAD position was 0f54d320 Add gitignore
HEAD is now at df4a82f4 Remove JodaTime folder moving files to top level
Removing target/
[ BUILD CHECKER ] df4a82f4 commit build success
[ BUILD CHECKER ] 72b22654 commit gona be checked
Previous HEAD position was df4a82f4 Remove JodaTime folder moving files to top level
HEAD is now at 72b22654 Remove Joda-Time contrib folder - active projects now independent at GitHub
Removing target/
[ BUILD CHECKER ] 72b22654 commit build fail
[ BUILD CHECKER ] 3ec46adf commit gona be checked
Previous HEAD position was 72b22654 Remove Joda-Time contrib folder - active projects now independent at GitHub
HEAD is now at 3ec46adf Move to Hibernate 3.6, with flexible Joda-Time and Hibernate versioning (provided dependencies)
[ BUILD CHECKER ] 3ec46adf commit build fail
[ BUILD CHECKER ] 149da408 commit gona be checked
Previous HEAD position was 3ec46adf Move to Hibernate 3.6, with flexible Joda-Time and Hibernate versioning (provided dependencies)
HEAD is now at 149da408 Extra tests to ensure constructor behaviour at overlap
[ BUILD CHECKER ] 149da408 commit build fail
[ BUILD CHECKER ] b8ce739c commit gona be checked
Previous HEAD position was 149da408 Extra tests to ensure constructor behaviour at overlap
HEAD is now at b8ce739c Clarify Javadoc re Julian Gregorian cutover
[ BUILD CHECKER ] b8ce739c commit build fail
[ BUILD CHECKER ] 57c8aaf9 commit gona be checked
Previous HEAD position was b8ce739c Clarify Javadoc re Julian Gregorian cutover
HEAD is now at 57c8aaf9 Duraton.toPeriod(), new Period(long), new MutablePeriod(long) [3264409] Fixed to obey Javadoc. Previously, they didn't obey the Javadoc if the default time-zone had no daylight savings.
[ BUILD CHECKER ] 57c8aaf9 commit build fail
[ BUILD CHECKER ] 14dedcbc commit gona be checked
Previous HEAD position was 57c8aaf9 Duraton.toPeriod(), new Period(long), new MutablePeriod(long) [3264409] Fixed to obey Javadoc. Previously, they didn't obey the Javadoc if the default time-zone had no daylight savings.
HEAD is now at 14dedcbc DateTimeZone.forTimeZone [3216471] Time-zone ID "MET" from java.util.TimeZone is now mapped correctly. Other time-zone conversions have been updated appropriately
[ BUILD CHECKER ] 14dedcbc commit build fail
[ BUILD CHECKER ] bfd37a81 commit gona be checked
